Major paragraph headings,Sub Section,Heritage BU,Portfolio?,Common process/ contact details,New content for MF Support Handbook (same terminology),Linked to a project,Project Owner,Project Delivery date
How to Escalate a Service Request,Critical Situation Handling Process,NQ,,No,,,,
How to Escalate a Service Request,Critical Situation Handling Process,NQ-New,,Yes,Only for the Heritage Novell products and it would follow the Novell content above.,,,
Resolving Multi-Vendor Issues,Multi-Vendor,No,,No,,,,
Resolving Multi-Vendor Issues,Multi-Vendor,AQ,,Yes,"As an active member of the Technical Support Alliance Network (TSANet)—a global, vendor-neutral, not-for-profit industry support alliance. This organization creates an industry infrastructure, allowing members to collaborate and work on multi-vendor customer issues without “finger pointing.” TSANet follows industry-standard support policies and obligates members to collaborate on issues to isolation or resolution (or both). This process gives the customer a seamless interface in solving complex multi-vendor problems among two or more vendors.  TSANet allows the assigned engineer to work directly with an engineer from another vendor to solve support issues. Think of it as a behind-the-scenes mechanism that expedites resolution, often without the customer even being aware of it being engaged. TSANet is a direct vendor-to-vendor contact; however, customers should have appropriate support entitlement with both vendors prior to the interaction. TSANet allows its members to work on your behalf and not waste time duplicating support incidents with multiple vendors. More information on TSANet, including a list of participating members, is available at: www.tsanet.org",,,
Resolving Multi-Vendor Issues,Multi-Vendor,NV,,Yes,"We are a founding sponsor and remain an active member of the Technical Support Alliance Network (TSANet)—a global, vendor-neutral, not-for-profit industry support alliance. This organization creates an industry infrastructure, allowing members to collaborate and work on multi-vendor customer issues without “finger pointing.” TSANet follows industry-standard support policies and obligates members to collaborate on issues to isolation or resolution (or both). This process gives the customer a seamless interface in solving complex multi-vendor problems among two or more vendors.

TSANet allows the assigned engineer to work directly with an engineer from another vendor to solve support issues. Think of it as a behind-the-scenes mechanism that expedites resolution, often without the customer even being aware of it being engaged. TSANet is a direct vendor-to-vendor contact; however, customers should have appropriate support entitlement with both vendors prior to the interaction. TSANet allows its members to work on your behalf and not waste time duplicating support incidents with multiple vendors. More information on TSANet, including a list of participating members, is available at: www.tsanet.org.",,,
Resolving Multi-Vendor Issues,Multi-Vendor,NQ,,No,,,,
Resolving Multi-Vendor Issues,Multi-Vendor,NQ-New,, Yes,Only for the Heritage Novell products and it would follow the Novell content above.,,,
"How to Report a Software Defect, request a Product Enhancement or Report a Security Vulnerability",Multi-Vendor,,,,,,,
"How to Report a Software Defect, request a Product Enhancement or Report a Security Vulnerability",Software Defects,MF,,Yes,RPI is opened with Dev team via support incident ,,,
"How to Report a Software Defect, request a Product Enhancement or Report a Security Vulnerability",Software Defects,AQ,,No,"Defects are features or functions that do not work as documented. You can report what you consider to be a product defect by opening a service request. We will accept and record defects reported against currently supported versions of Attachmate products and investigate them at our discretion.  Defective media should be returned to the point of purchase for an exchange. Exchanges can be made only for current, commercially available products",,,
"How to Report a Software Defect, request a Product Enhancement or Report a Security Vulnerability",Software Defects,NV,,Yes,"You may report a software defect either through our free bug tool, or by opening a Service Request.

When you report a software defect using our free bug tool, you will not receive a call back from a support engineer, as this tool is not an avenue for technical support. Any fixes made from these reports will be added to the next service pack release or patch update and announced through the regular maintenance notification.

If you choose to report the bug by opening a service request, you will be able to talk to a support engineer, and if the issue is corrected, you could receive a program temporary fix (PTF). Although most customers are entitled to unlimited support, if you are a partner or academic institution with limited service requests, a service request will be decremented from your count if your support agreement has a limit on service requests. You may request us to credit the service request if the problem is determined to be a software defect for which information has not previously published as a Technical Information Document (TID) in the Support Knowledgebase, or documented in our release notes or maintenance notifications.

For this purpose of this document, a software defect is either:
- During the General Support phase of the product support lifecycle, an error in a product’s functionality that results in the software’s failure to perform substantially in accordance with its specifications and for which our company is responsible; or
- A critical security defect in a product that is in the Extended Support phase.

Report a Bug (this is a link to report the bug/defect)",,,
"How to Report a Software Defect, request a Product Enhancement or Report a Security Vulnerability",Software Defects,NQ,,No,,,,
"How to Report a Software Defect, request a Product Enhancement or Report a Security Vulnerability",Software Defects,NQ-New,,Yes,Only for the Heritage Novell products and it would follow the Novell content above.,,,
"How to Report a Software Defect, request a Product Enhancement or Report a Security Vulnerability",Product Enhancement Requests,MF,,No,Contact support to raise an incident.,,Different products can open an enhancement in different routes.,
"How to Report a Software Defect, request a Product Enhancement or Report a Security Vulnerability",Product Enhancement Requests,AQ,,Yes,"You can suggest a change, improvement, or new feature for the Attachmate product you are using by opening a service incident We will evaluate all product enhancement requests as candidates for future product releases. All product enhancement requests become the property of Attachmate.",,Cathal to check with Eric Varness,
"How to Report a Software Defect, request a Product Enhancement or Report a Security Vulnerability",Product Enhancement Requests,NV,,Yes,"We are committed to creating highly functional, user-friendly software. Listening to our customers is an integral part of that commitment. Please help us improve our products by submitting your feedback and requests. If you have already opened a service request to report an issue that is a feature change, we will open an Enhancement Request in your behalf.

Submit an Enhancement Request (this is a link to report the enhancement request)",,,
"How to Report a Software Defect, request a Product Enhancement or Report a Security Vulnerability",Product Enhancement Requests,NQ,,No,Not part of the support handbook but can be accessed via https://www.novell.com/products/enhancement-request.html ,,,
"How to Report a Software Defect, request a Product Enhancement or Report a Security Vulnerability",Product Enhancement Requests,NQ-New,,Yes,Not part of the support handbook but can be accessed via https://www.novell.com/products/enhancement-request.html ,,,
"How to Report a Software Defect, request a Product Enhancement or Report a Security Vulnerability",Security Vulnerabilities,MF,,,RPI is opened with Dev team via support incident,,,
"How to Report a Software Defect, request a Product Enhancement or Report a Security Vulnerability",Security Vulnerabilities,AQ,,Yes,"Reporting a Potential Security Vulnerability
Security Researchers
Security researchers can report a potential security vulnerability by sending and encrypted email to AttachmateCERT@attachmate.com using the PGP public key described below.
Attachmate Customers
Customers can report potential security vulnerability in any of the Attachmate products by telephoning (not emailing) the closest Attachmate technical support center.
For Attachmate contact information, see http://support.attachmate.com/contact/
When discussing the issue with Attachmate technical support, you may be asked to send information, such as log files or information about how to duplicate the problem, to Attachmate.  In this instance, we strongly recommend that you encrypt the information and email it to Attachmate using PGP (or compatible applications, such as GnuPG).
Obtain Our PGP Public Key
Our PGP public key can be retrieved from any of the following locations by entering the ID number 0x9851A03B:
• PGP Corporation key server at http://keyserver.pgp.com/vkd/GetWelcomeScreen.event. 
• Massachusetts Institute of Technology PGP key server at http://pgp.mit.edu. 
• Or, by downloading our PGP armored file from Attachmate Downloads, Attachmate-CERT-pub.asc. 
The Attachmate Computer Emergency Response Team (CERT) public key has the following properties:
",,,
"How to Report a Software Defect, request a Product Enhancement or Report a Security Vulnerability",Security Vulnerabilities,NV,,Yes,"Our presence in the software security field is continuously contributing to the high degree of trust and confidence that users value in our software. Do your part to contribute to the unprecedented reputation of our product by reporting any observed vulnerabilities.

Report a Security Vulnerability (this is a link to report the Security Vulnerability)",,,
"How to Report a Software Defect, request a Product Enhancement or Report a Security Vulnerability",Security Vulnerabilities,NQ,,Yes,"NetIQ is committed to providing secure enterprise software to its customers. While we employ secure product development practices in our engineering process, we recognize that not all vulnerabilities may be avoided. We are committed to providing a quick response for potential vulnerabilities reported from the field.

Potential vulnerability reports can be submitted directly to NetIQ via security@netiq.com or through TippingPoint's Zero Day Initiative. When submitting a report please include the product name, version, and general description of the potential vulnerability.

NetIQ’s policy is to respond to all potential vulnerability reports within 5 business days. Once an initial response is provided, NetIQ will continue a dialog with the submitter until the potential issue has been analyzed and resolved.
For vulnerabilities that are found to be legitimate, credit will be given to the submitter when a remedy for the vulnerability is made available to the public.",,,
"How to Report a Software Defect, request a Product Enhancement or Report a Security Vulnerability",Security Vulnerabilities,NQ-New,,Yes,"NetIQ is committed to providing secure enterprise software to its customers. While we employ secure product development practices in our engineering process, we recognize that not all vulnerabilities may be avoided. We are committed to providing a quick response for potential vulnerabilities reported from the field.

Potential vulnerability reports can be submitted directly to NetIQ via security@netiq.com or through TippingPoint's Zero Day Initiative. When submitting a report please include the product name, version, and general description of the potential vulnerability.

NetIQ’s policy is to respond to all potential vulnerability reports within 5 business days. Once an initial response is provided, NetIQ will continue a dialog with the submitter until the potential issue has been analyzed and resolved.
For vulnerabilities that are found to be legitimate, credit will be given to the submitter when a remedy for the vulnerability is made available to the public.",,,
Support Delivery Information,,,,,,,,
Support Delivery Information,Product Support Lifecycle,MF,,Yes,http://supportline.microfocus.com/prodavail.aspx,,,
Support Delivery Information,Product Support Lifecycle,NV,,Yes,"We provide technical support on products for the time period specified in the Product Support Lifecycle. The Product Support Lifecycle defines the duration and levels of support customers can expect to receive as products mature. If you need to extend your support coverage, consider Extended Support Service Request Package",,,
Support Delivery Information,Product Support Lifecycle,NQ,,Yes,"The lifecycle phase of a particular product determines the level of technical support available for that product. The current support status information for each product may be found here: /Support/versionsupport.asp
All products go through the following lifecycle phases; the length of each phase may vary according to the specific product:

- Beta
- Current - General Availability (GA)
- Supported - Continued Support
- Withdrawn - Sunset

Beta
During a product beta, NetIQ may provide support during normal working hours for the product - see your sales representative for additional details. Beta code is only available to customers with current maintenance and is provided on an ""as-is"" basis.

Current
For all products in this phase of the lifecycle, NetIQ will provide support and maintenance offerings, which will allow you to choose the most appropriate level of support for your organization. Maintenance offerings may consist of maintenance releases, service packs and/or hotfixes. Hotfixes and service packs are not available for all products. Support services include, but are not limited to Knowledgebase, online support, and phone support during business hours; 24x7 support is available to customers who have purchased Priority maintenance.

Supported
Once a product version enters the Supported lifecycle phase, NetIQ will no longer actively develop new fixes or service packs for that version. Technical support reserves the right to request that the customer upgrade to the current version.

NetIQ may offer limited support on that version for an additional 12 months answering usage questions only. Providing technical support during this period does not imply that NetIQ will fix software defects or make changes to the software.

Withdrawn
When a product version enters the Withdrawn lifecycle phase, NetIQ will no longer provide support for that product version. Knowledgebase articles will remain available for a period beyond this withdrawal date.

Providing technical support during any phase of the product lifecycle does not imply that NetIQ will fix software defects or make changes to the software. Please contact your local NetIQ sales representative if you have questions regarding products in this phase: www.netiq.com/about_netiq/contactus.asp",,,
Support Delivery Information,Product Support Lifecycle,NQ-New,,Yes,"If Heritage Novell product then follow the NV Handbook, if Heritage NetIQ then follow the NetIQ handbook.",,,
Support Delivery Information,Product Support Lifecycle,AQ,,Yes,"Your product's version determines its product support lifecycle phase and the level of support that is provided. We strongly recommend that you upgrade to current releases of Attachmate software as they become available. To maintain consistently high levels of expertise within our worldwide support staff, we devote the majority of our support resources to supporting current versions of Attachmate software.   The Attachmate Product Support Lifecycle defines the phases, from Current to Discontinued (http://support.attachmate.com/programs/lifecycle/phases-page.html), and the levels of support that you can expect to receive as your products move through their lifecycle.  The Product Support Lifecycle version status for each product is listed on the Attachmate support site, http://support.attachmate.com/programs/lifecycle/.  Note: Attachmate reserves the right to change our product support guidelines or our product classifications without notice at any time.",The Product Support Lifecycle is another integration project which is expected to roll out this spring,,
Support Delivery Information,Hours of Coverage and Target Response Times,MF,,No,No SLA's published,Hours of operation for in country. Within the handbook it stated 8:30am - 5:30 PM,Denine to determine if we do this in the future,
Support Delivery Information,Hours of Coverage and Target Response Times,NV,,Yes,"When registering service requests, We have defined targets for maximum response time to respond when a service request is logged. A response is defined as the time between creation of the service request and the initial communication between the assigned engineer and your company. Response times vary according to the maintenance level, Premium Service program or Partner program you have:

There is a table here showing program levels , hours of coverage, Severity Level, and Target Response Time

*If you have purchased a Premium Service Engineer, refer to the response times in the Premium Service programs table.
** Local 12x5 Support Center hours are as follows: Americas 6 a.m.—6 p.m. MT, APAC 7 a.m.—7 p.m. from your local country, EMEA 8 a.m.—8 p.m. CET, LATAM 8 a.m.—5 p.m. UTC-3 (Argentina time zone).
*** The target response time applies to the period when support is available. For example, a Standard maintenance Severity 1 service request logged at 6 p.m. will have a target response time of before 10 a.m. the following business day.",,,
Support Delivery Information,Hours of Coverage and Target Response Times,AQ,,yes,Sev 1 - 1 hour.  Sev 2 - 3 hours.  Sev 3 - Next business day.,Hours of operation for in country. Within the handbook it stated 8:30am - 5:30 PM,Antoinette listed the new ones,
Support Delivery Information,Hours of Coverage and Target Response Times,NQ,,Yes,"Access - 12x5 (Standard) or 24x7 (Priority)

Response Time (Standard) - Sev 1 = 2 hours, Sev 2 = 4 hours, Sev 3 = Next Business Day, Sev 4 = Next Business day

Response Time (Priority) - Sev 1 = 1 hour, Sev 2 = 2 hours, Sev 3 = 4 hours, Sev 4 = Next Business day",,,
Support Delivery Information,Hours of Coverage and Target Response Times,NQ-New,,Yes,"If Heritage Novell product then follow the NV Handbook, if Heritage NetIQ then follow the NetIQ handbook.",,,
Support Delivery Information,Hours of Coverage and Response Time Targets for Premium Service Engineers,MF,,No,Don't offer this service,,,
Support Delivery Information,Hours of Coverage and Response Time Targets for Premium Service Engineers,NV,,Yes,"If you have a Premium Service Engineer (ASE, PSE, or DSE) or Advantage Service Requests, you may contact the engineer by telephone for any level of severity, not just Severity 1 issues. You may also use Customer Center to open a service request with your engineer via chat or email for any severity except Severity 1.

There is a table here showing Program, Hours of Coverage, and Target Response Time

1. Standard or Priority maintenance or partner program required before purchasing these services.
2. The target response time applies to the period when support is available. For example, a Standard maintenance Severity 1 service request logged at 6p.m. will have a target response time of before 10 a.m. the following business day.
3. Although the Advantage team and Assigned support Engineers (ASEs) are only available 12x5, customers with Priority maintenance (24x7 coverage) may open service requests after hours, and partners without a Priority maintenance may use one of the Advantage or ASE Service Requests after hours. In both cases, the service request will be assigned to a Technical Support Engineer in the Support Center, but upon request may be transitioned to the ASE or Advantage team during normal business hours.
4. Customers with Standard maintenance receive 12x5 hours of coverage for their PSE or DSE. Customers with Priority maintenance receive 24x7 hours of coverage for their PSE or DSE. Partners receive 24x7 hours of coverage. You may contact your PSE or DSE for Severity 1 issues or occasional special projects that are scheduled in advance. PSEs and DSEs are GEO based resources and do not respond to global requests.",,,
Support Delivery Information,Hours of Coverage and Response Time Targets for Premium Service Engineers,AQ,,Yes,Sev 1 - 1 hour.  Sev 2 - 3 hours.  Sev 3 - Next business day.,,,
Support Delivery Information,Hours of Coverage and Response Time Targets for Premium Service Engineers,NQ,,Yes,"If you have a Premium Service Engineer (ASE, PSE, or DSE) or Advantage Service Requests, you may contact the engineer by telephone for any level of severity, not just Severity 1 issues. You may also use Customer Center to open a service request with your engineer via chat or email for any severity except Severity 1.

There is a table here showing Program, Hours of Coverage, and Target Response Time

1. Standard or Priority maintenance or partner program required before purchasing these services.
2. The target response time applies to the period when support is available. For example, a Standard maintenance Severity 1 service request logged at 6p.m. will have a target response time of before 10 a.m. the following business day.
3. Although the Advantage team and Assigned support Engineers (ASEs) are only available 12x5, customers with Priority maintenance (24x7 coverage) may open service requests after hours, and partners without a Priority maintenance may use one of the Advantage or ASE Service Requests after hours. In both cases, the service request will be assigned to a Technical Support Engineer in the Support Center, but upon request may be transitioned to the ASE or Advantage team during normal business hours.
4. Customers with Standard maintenance receive 12x5 hours of coverage for their PSE or DSE. Customers with Priority maintenance receive 24x7 hours of coverage for their PSE or DSE. Partners receive 24x7 hours of coverage. You may contact your PSE or DSE for Severity 1 issues or occasional special projects that are scheduled in advance. PSEs and DSEs are GEO based resources and do not respond to global requests.",,,
Support Delivery Information,Hours of Coverage and Response Time Targets for Premium Service Engineers,NQ-New,,Yes,"If you have a Premium Service Engineer (ASE, PSE, or DSE) or Advantage Service Requests, you may contact the engineer by telephone for any level of severity, not just Severity 1 issues. You may also use Customer Center to open a service request with your engineer via chat or email for any severity except Severity 1.

There is a table here showing Program, Hours of Coverage, and Target Response Time

1. Standard or Priority maintenance or partner program required before purchasing these services.
2. The target response time applies to the period when support is available. For example, a Standard maintenance Severity 1 service request logged at 6p.m. will have a target response time of before 10 a.m. the following business day.
3. Although the Advantage team and Assigned support Engineers (ASEs) are only available 12x5, customers with Priority maintenance (24x7 coverage) may open service requests after hours, and partners without a Priority maintenance may use one of the Advantage or ASE Service Requests after hours. In both cases, the service request will be assigned to a Technical Support Engineer in the Support Center, but upon request may be transitioned to the ASE or Advantage team during normal business hours.
4. Customers with Standard maintenance receive 12x5 hours of coverage for their PSE or DSE. Customers with Priority maintenance receive 24x7 hours of coverage for their PSE or DSE. Partners receive 24x7 hours of coverage. You may contact your PSE or DSE for Severity 1 issues or occasional special projects that are scheduled in advance. PSEs and DSEs are GEO based resources and do not respond to global requests.",,,
Support Delivery Information,Severity Level Definitions,No,,No,No definitions listed,,Need to list the Service Level definitions,
Support Delivery Information,Severity Level Definitions,AQ,,Yes,"Severity 1 (High) The operation is in production and is mission critical to the business. The product is inoperable and the situation is resulting in a total disruption of work. There is no workaround available.  Severity 2 (Medium) Operations are severely restricted. Important features are unavailable, although work can continue in a limited fashion. A workaround is available and allowing the company to operate in some manner. The product does not work as designed resulting in a minor loss of usage.  Severity 3 (Low) There is no loss of service. This may be a request for documentation, general information, product enhancement request, etc.; or the product has a workaround that keeps the business functioning near normal levels. ",,Need to use Denines new ones?,
Support Delivery Information,Severity Level Definitions,NV,,No,"The severity of a service request is defined when created, and can be set up electronically by the customer creating the service request, or by a customer service representative over the telephone. We have defined four severity levels:
- Severity 1 (Critical) - The operation is in production and is mission critical to the business. The product is inoperable and the situation is resulting in a total disruption of work. There is no workaround available.
- Severity 2 (High) - Operations are severely restricted. Important features are unavailable, although work can continue in a limited fashion. A workaround is available.
- Severity 3 (Medium) - The product does not work as designed resulting in a minor loss of usage.
- Severity 4 (Low) - There is no loss of service. This may be a request for documentation, general information, product enhancement request, etc.",,Need to use Denines new ones?,
Support Delivery Information,Severity Level Definitions,NQ,,Yes,"The severity of a service request is defined when created, and can be set up electronically by the customer creating the service request, or by a customer service representative over the telephone. We have defined four severity levels:
- Severity 1 (Critical) - The operation is in production and is mission critical to the business. The product is inoperable and the situation is resulting in a total disruption of work. There is no workaround available.
- Severity 2 (High) - Operations are severely restricted. Important features are unavailable, although work can continue in a limited fashion. A workaround is available.
- Severity 3 (Medium) - The product does not work as designed resulting in a minor loss of usage.
- Severity 4 (Low) - There is no loss of service. This may be a request for documentation, general information, product enhancement request, etc.",,,
Support Delivery Information,Severity Level Definitions,NQ-New,,Yes,"The severity of a service request is defined when created, and can be set up electronically by the customer creating the service request, or by a customer service representative over the telephone. We have defined four severity levels:
- Severity 1 (Critical) - The operation is in production and is mission critical to the business. The product is inoperable and the situation is resulting in a total disruption of work. There is no workaround available.
- Severity 2 (High) - Operations are severely restricted. Important features are unavailable, although work can continue in a limited fashion. A workaround is available.
- Severity 3 (Medium) - The product does not work as designed resulting in a minor loss of usage.
- Severity 4 (Low) - There is no loss of service. This may be a request for documentation, general information, product enhancement request, etc.",,,
Support Delivery Information,Number of Authorized Support Contacts,MF,,No,No limit on the number of Authorized Contacts,,,
Support Delivery Information,Number of Authorized Support Contacts,NV,,Yes,"Academic Service Request Packs, Advantage Service Request Packs, and Standard Maintenance: 3
Priority maintenance, MLA Advanced 1: 5
Technology Partners: 10
MLA Advanced 2, Enterprise 1, Enterprise 2, ASE, PSE, DSE: No limit",,,
Support Delivery Information,Number of Authorized Support Contacts,AQ,,Yes,"4 - 1 Primary and 3 additional contacts for Standard Care Maintenance, 8 - 1 Primary and 7 additional contacts for Total Care Maintenance.",,,
Support Delivery Information,Number of Authorized Support Contacts,NQ,,Yes,"Standard Maintenance = 3 contacts
Priority Maintenance = 5 contacts",,,
Support Delivery Information,Number of Authorized Support Contacts,NQ-New,,Yes,"Academic Service Request Packs, Advantage Service Request Packs, and Standard Maintenance: 3
Priority maintenance, MLA Advanced 1: 5
Technology Partners: 10
MLA Advanced 2, Enterprise 1, Enterprise 2, ASE, PSE, DSE: No limit",,,
Support Delivery Information,Support Level Definitions,MF,,No,No definitions listed,,,
Support Delivery Information,Support Level Definitions,NV,,Yes,"Level 1: Problem determination, including provision of compatibility information, installation assistance, usage support, on-going maintenance and basic troubleshooting.
Level 2: Problem isolation, including efforts to duplicate customer problems, isolate a problem area and provide resolution for problems not resolved by Level 1 Support. Resolution may include reasonable work-arounds.
Level 3: Problem resolution, which means to resolve complex problems identified by Level 2 Support. Resolution means closure of the issue giving rise to the service request, and may include configuration changes, implementation of a workaround, or creation of a software modification that when installed cures an Error. Resolution is not possible in all circumstances.",,,
Support Delivery Information,Support Level Definitions,AQ,,Yes,"The following are the plan levels as we don't define by support level definitions, 1st, 2nd etc.   The Attachmate Maintenance and Support Program includes a range of benefits and access to our industry-leading technical support. To meet the requirements of various IT environments, Attachmate offers two Maintenance and Support Plans, Standard Care and Total Care, as well as Total Care 24x7 Add-On. The Standard Care Maintenance and Support Plan is designed to handle the needs of most IT environments, while the Total Care Maintenance and Support Plan and the Total Care 24x7 Add-On are designed for customers with larger, more complex environments, or for customers that need quick access to technical support for their mission-critical applications. You can see a comparison of the plans on our support site: http://www.attachmate.com/support/programs/overview.htm.",,,
Support Delivery Information,Support Level Definitions,NQ,,Yes,"Level 1: Problem determination, including provision of compatibility information, installation assistance, usage support, on-going maintenance and basic troubleshooting.
Level 2: Problem isolation, including efforts to duplicate customer problems, isolate a problem area and provide resolution for problems not resolved by Level 1 Support. Resolution may include reasonable work-arounds.
Level 3: Problem resolution, which means to resolve complex problems identified by Level 2 Support. Resolution means closure of the issue giving rise to the service request, and may include configuration changes, implementation of a workaround, or creation of a software modification that when installed cures an Error. Resolution is not possible in all circumstances.",,,
Support Delivery Information,Support Level Definitions,NQ-New,,Yes,"Level 1: Problem determination, including provision of compatibility information, installation assistance, usage support, on-going maintenance and basic troubleshooting.
Level 2: Problem isolation, including efforts to duplicate customer problems, isolate a problem area and provide resolution for problems not resolved by Level 1 Support. Resolution may include reasonable work-arounds.
Level 3: Problem resolution, which means to resolve complex problems identified by Level 2 Support. Resolution means closure of the issue giving rise to the service request, and may include configuration changes, implementation of a workaround, or creation of a software modification that when installed cures an Error. Resolution is not possible in all circumstances.",,,
Support Delivery Information,Customer Data,MF,,No,,,,
Support Delivery Information,Customer Data,AQ,,,"Customers and partners acknowledge that we may need access to certain software, hardware, data, third party software or other information or material to adequately troubleshoot and test issues. Lack of access to reproduce a customer’s environment may prevent us from reproducing and isolating an issue.

Customers and partners will take responsibility for all data provided to us. We assume to have consent and permission to troubleshoot with data provided. Customers and partners will not provide data that is alleged to be confidential or proprietary.

Customers and partners acknowledge that data provided may be altered or damaged in the course of testing and troubleshooting, and will take all appropriate measures to back-up the applicable data prior to providing it to us.",,Need to add this,
Support Delivery Information,Customer Data,NV,,Yes,"Customers and partners acknowledge that we may need access to certain software, hardware, data, third party software or other information or material to adequately troubleshoot and test issues. Lack of access to reproduce a customer’s environment may prevent us from reproducing and isolating an issue.

Customers and partners will take responsibility for all data provided to us. We assume to have consent and permission to troubleshoot with data provided. Customers and partners will not provide data that is alleged to be confidential or proprietary.

Customers and partners acknowledge that data provided may be altered or damaged in the course of testing and troubleshooting, and will take all appropriate measures to back-up the applicable data prior to providing it to us.",,,
Support Delivery Information,Customer Data,NQ,,Yes,"Customers and partners acknowledge that NetIQ may need access to certain software, hardware, data, third party software or other information or material to adequately troubleshoot and test issues. Lack of access to reproduce a customer's environment may prevent NetIQ from reproducing and isolating an issue.

Customers and partners will take responsibility for all data provided to NetIQ. NetIQ assumes to have consent and permission to troubleshoot with data provided. Customers and partners will not provide data that is alleged to be confidential or proprietary.

Customers and partners acknowledge that data provided may be altered or damaged in the course of testing and troubleshooting, and will take all appropriate measures to back-up the applicable data prior to providing it to NetIQ.",,,
Support Delivery Information,Customer Data,NQ-New,,Yes,"Customers and partners acknowledge that we may need access to certain software, hardware, data, third party software or other information or material to adequately troubleshoot and test issues. Lack of access to reproduce a customer’s environment may prevent us from reproducing and isolating an issue.

Customers and partners will take responsibility for all data provided to us. We assume to have consent and permission to troubleshoot with data provided. Customers and partners will not provide data that is alleged to be confidential or proprietary.

Customers and partners acknowledge that data provided may be altered or damaged in the course of testing and troubleshooting, and will take all appropriate measures to back-up the applicable data prior to providing it to us.",,,
Customer Satisfaction Surveys,Survey,MF,,Yes,Surveys were translated into the lang support we offer but this has yet to be implemented,,Work with Martin Murphy on this as he is reviewing these.,
Customer Satisfaction Surveys,Survey,NV,,Yes,"At the closure of each service request, you will receive an invitation to complete a survey regarding your experience (unless your survey requests are serviced by an ASE, PSE, or DSE, in which case surveys may be conducted less frequently). The survey measures your satisfaction with the overall service request process, as well as in specific areas such as resolution effectiveness, our product quality and support engineer performance. Surveys are delivered in one of eight languages, as specified during the service agreement setup. We encourage your participation in completing this survey to detail your experience on each opened service request. Rest assured, we take customer satisfaction and feedback seriously, and we use this information to determine where improvements can be made.",,Work with Martin Murphy on this as he is reviewing these.,
Customer Satisfaction Surveys,Survey,AQ,,Yes,"At the closure of each service incident, you will receive an invitation to complete a survey regarding your experience.  The survey measures your satisfaction with the overall service incident process, as well as in specific areas such as resolution effectiveness, our product quality and support engineer performance.  We encourage your participation in completing this survey to detail your experience on each opened service incident. Rest assured, we take customer satisfaction and feedback seriously, and we use this information to determine where improvements can be made.",,Work with Martin Murphy on this as he is reviewing these.,
Customer Satisfaction Surveys,Survey,NQ,,Yes,"At the closure of each service incident, you will receive an invitation to complete a survey regarding your experience.  The survey measures your satisfaction with the overall service incident process, as well as in specific areas such as resolution effectiveness, our product quality and support engineer performance.  We encourage your participation in completing this survey to detail your experience on each opened service incident. Rest assured, we take customer satisfaction and feedback seriously, and we use this information to determine where improvements can be made.",,,
Customer Satisfaction Surveys,Survey,NQ-New,,Yes,"At the closure of each service incident, you will receive an invitation to complete a survey regarding your experience.  The survey measures your satisfaction with the overall service incident process, as well as in specific areas such as resolution effectiveness, our product quality and support engineer performance.  We encourage your participation in completing this survey to detail your experience on each opened service incident. Rest assured, we take customer satisfaction and feedback seriously, and we use this information to determine where improvements can be made.",,,
Additional Support Options Available,,,,,,,Denine to follow up,
Additional Support Options Available,Premium Service,No ,,No ,Don't offer this service,,,
Additional Support Options Available,Premium Service,NV,,Yes,"When your IT environment is truly business-critical, you need to be sure you can get help quickly from people who understand your environment and business needs. You can get that extra assurance with Premium Service, available to help you get the most from your IT investment.

Premium Service Engineers - Assigned, Primary or Dedicated Support Engineers (ASE, PSE, DSE) give you access to a named engineer with faster response times and increased levels of dedicated support; includes Service Account Management

Advantage Service Request Packs - Access to a team of senior in-region support engineers for business-hours access to technical support (note: may not be available in all countries)

On-site Support - Services to assist with technical issues at your site

Scheduled Stand-by - Remote assistance with scheduled work such as upgrades and migrations; sold in four-hour blocks and includes one planning call

Health Checks - A proactive, in-depth analysis of your environment by a senior engineer to provide you with feedback on how to optimize your system and ensure a stable, well-managed environment.",,,
Additional Support Options Available,Premium Service,AQ,,Yes,"The Total Care Maintenance and Support Plan emphasizes proactive support and personalized service, giving you quick and direct access to a designated Technical Account Manager (TAM) who is familiar with your IT environment. In North America and EMEA, if you purchase the Standard Care Maintenance and Support Plan for all licenses of a product, you can qualify to purchase the Total Care Maintenance and Support Plan.   Total Care Maintenance and Support Plan subscribers in North America and EMEA may elect to purchase 24x7 protection, which is designed for large organizations that need to ensure round-the-clock service for their mission-critical applications. The Total Care 24x7 Add-On provides after-hours access to Technical Support for Severity 1 issues. 

The features and benefits of the Total Care 24x7 Add-On are described on our support site: http://www.attachmate.com/Support/programs/elite24x7-maintenance-add-on.htm. When you contact us after-hours, the Technical Support Engineer on call will make a reasonable effort to resolve the issue as soon as possible. (For support office hours and contact information for your location, visit our support site: http://support.attachmate.com/contact/.) Please keep in mind that Attachmate development resources are not available outside of normal Attachmate business hours, 8:00 a.m. to 5:00 p.m. Monday through Friday, Pacific Time. 

Note: Attachmate Technical Support does not guarantee that we can resolve all technical issues reported. However, we will provide reasonable effort using generally accepted industry standards and practices to resolve the situation or find an acceptable workaround. There will be situations where we are unable to resolve your problem. There will also be situations where the best solution is to upgrade to the most current version of a software product.
",,,
Additional Support Options Available,Long Term Service Pack Support,Yes,,Yes,Currently we offer Extended care or Advice and Avoidance maintenance options,,,
